,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id
487513,8501505,2.523468,48.992972,375.799987792969,7.400000095367429,15.19999996821084,0.3780799840927106,-0.3780799840927106,199.5536576362125,1,5.0,1,1,5658
487540,8501505,2.5217240000000003,48.992836,351.0,12.0,13.100000063578278,0.2390800106048583,0.2390800106048583,199.50989057571448,1,5.0,1,1,5661
487541,8501505,2.521488,48.993081,345.700012207031,14.6999998092651,11.466666539510081,0.15011998939513962,0.15011998939513962,199.50146859508618,1,5.0,1,1,5661
487542,8501505,2.521243,48.993267,339.600006103516,11.3999996185303,12.699999809265131,0.1834800106048549,-0.1834800106048549,199.48818164910838,1,5.0,1,1,5661
487543,8501505,2.520865,48.993333,334.20001220703097,12.3000001907349,12.799999872843433,0.05004003181457577,0.05004003181457577,199.47569327171746,1,5.0,1,1,5661
487544,8501505,2.520571,48.993399,329.100006103516,6.699999809265139,10.13333320617678,0.3113600212097188,-0.3113600212097188,199.46287620536557,1,5.0,1,1,5661
487545,8501505,2.520245,48.993374,323.29998779296903,9.60000038146973,9.53333346048992,0.16124003181457525,0.16124003181457525,199.45201253943367,1,5.0,1,1,5661
487546,8501505,2.51986,48.993503,309.5,10.6999998092651,8.999999999999991,0.03057998409271128,0.03057998409271128,199.4438492788105,1,10.0,1,1,5661
487547,8501505,2.519708,48.993798,302.0,19.1000003814697,13.133333524068176,0.4670400318145759,0.4670400318145759,199.4302668439642,1,5.0,1,1,5661
487548,8501505,2.519822,48.99427,295.29998779296903,28.2999992370605,19.366666475931765,0.5115199363708486,0.5115199363708486,199.41962849891613,1,5.0,1,1,5661
487549,8501505,2.519963,48.994882,291.70001220703097,30.7999992370605,26.066666285196906,0.13899999999999987,0.13899999999999987,199.41237113122193,1,5.0,1,1,5661
487550,8501505,2.52008,48.99545,288.899993896484,24.0,27.699999491373674,0.3780799575805638,-0.3780799575805638,199.40148265169842,1,5.0,1,1,5661
488100,8572161,2.318043,48.81035,377.399993896484,3.29999995231628,2.93333331743876,0.033360001325607146,0.033360001325607146,198.19066136389492,1,10.0,1,1,5669
488101,8572161,2.317606,48.810099,375.399993896484,9.69999980926514,5.03333322207133,0.3558399920463567,0.3558399920463567,198.19380964630216,1,5.0,1,1,5669
488102,8572161,2.31708,48.810046,373.399993896484,18.3999996185303,10.46666646003724,0.4837199893951428,0.4837199893951428,198.19852987875785,1,5.0,1,1,5669
488103,8572161,2.316493,48.810093,371.899993896484,17.6000003814697,15.233333269755043,0.04447995758056926,-0.04447995758056926,198.19014465337483,1,5.0,1,1,5669
