,Unnamed: 0,sampno,longitude,latitude,altitude,speed,smooth,acceleration1000,acceleration,angle,moyenT,difTempsSec,StoopMoove,StopMoove1,Id,Id1
3450,528029,7242530,2.197742,48.895787,250.800003051758,18.0,12.5,0.6394,0.6394,192.44936031775168,4,5.0,1,1,6196,748
3451,528030,7242530,2.1972080000000003,48.895617,244.399993896484,19.1000003814697,14.5333334604899,0.06116002120971532,0.06116002120971532,192.44220246952386,4,5.0,1,1,6196,748
3452,528031,7242530,2.196731,48.89545,240.899993896484,13.5,16.86666679382323,0.3113600212097154,-0.3113600212097154,192.43117237168326,4,5.0,0,1,6196,748
3453,528032,7242530,2.1963880000000002,48.895351,244.0,14.3999996185303,15.666666666666664,0.05003997879028469,0.05003997879028469,192.42192676638768,4,5.0,0,1,6196,748
3454,528033,7242530,2.195945,48.89521,246.899993896484,14.6999998092651,14.199999809265131,0.016680010604854974,0.016680010604854974,192.41443507482154,4,5.0,1,1,6196,748
3455,528034,7242530,2.1956450000000003,48.895099,250.800003051758,11.1000003814697,13.3999999364217,0.2001599681854243,-0.2001599681854243,192.40537063770896,4,5.0,1,1,6196,748
3456,528035,7242530,2.195251,48.894988,251.300003051758,15.5,13.766666730244932,0.24463997879028465,0.24463997879028465,192.3995843303548,4,5.0,1,1,6196,748
3457,528121,7242530,2.1942150000000002,48.894645000000004,401.899993896484,14.8000001907349,6.400000015894584,0.10087428798675567,0.10087428798675567,192.35744857229062,4,35.0,0,1,6199,749
3458,528122,7242530,2.19468,48.89487800000001,403.5,24.7999992370605,13.89999977747599,0.5559999469757033,0.5559999469757033,192.37104042196617,4,5.0,0,1,6199,749
3459,528123,7242530,2.195529,48.895137,399.100006103516,34.9000015258789,24.83333365122477,0.561560127258303,0.561560127258303,192.37844898943885,4,5.0,1,1,6199,749
3460,528124,7242530,2.196597,48.895482,397.600006103516,42.0,33.90000025431313,0.3947599151611335,0.3947599151611335,192.39655033467284,4,5.0,0,1,6199,749
3461,528125,7242530,2.1979319999999998,48.895843,387.600006103516,48.0,41.63333384195963,0.33359999999999984,0.33359999999999984,192.41853974715042,4,5.0,1,1,6199,749
3462,528126,7242530,2.19933,48.896285999999996,383.399993896484,51.9000015258789,47.3000005086263,0.2168400848388668,0.2168400848388668,192.44809744332267,4,5.0,1,1,6199,749
3463,528127,7242530,2.200797,48.896751,378.100006103516,53.9000015258789,51.26666768391928,0.1112000000000002,0.1112000000000002,192.47712793815307,4,5.0,1,1,6199,749
3464,528128,7242530,2.2022779999999997,48.897215,370.100006103516,52.4000015258789,52.73333485921223,0.08340000000000032,-0.08340000000000032,192.50752483422244,4,5.0,0,1,6199,749
3465,528602,7242530,2.195992,48.895593,70.1999969482422,10.3000001907349,5.300000031789158,0.0811760021209721,0.0811760021209721,192.38305625003954,4,25.0,1,1,6207,750
3466,528603,7242530,2.196754,48.895628,70.0,23.100000381469695,12.133333524068199,0.7116800106048545,0.7116800106048545,192.39694555846745,4,5.0,1,1,6207,750
3467,528604,7242530,2.197739,48.89564,69.6999969482422,23.2999992370605,18.899999936421693,0.011119936370848826,0.011119936370848826,192.41817946857827,4,5.0,1,1,6207,750
3468,528605,7242530,2.198727,48.895717,68.90000152587889,28.7000007629395,25.0333334604899,0.30024008483887243,0.30024008483887243,192.44680382381856,4,5.0,1,1,6207,750
3469,528606,7242530,2.199575,48.895752,68.3000030517578,22.899999618530305,24.9666665395101,0.3224800636291512,-0.3224800636291512,192.47345134984653,4,5.0,1,1,6207,750
