,sampno,speed,acceleration,angle,smooth,Id1,longitude,latitude,difTempsSec,moyenT,altitude,StoopMoove,StopMoove1,DebFin
964,6508065,11.3000001907349,-0.033359968185424194,194.99793377172782,10.699999809265154,228,2.255247,48.86319,5.0,1,286.899993896484,1,1,0
965,6508065,11.6000003814697,0.0166800106048548,194.98435920245788,11.6000000635783,228,2.254867,48.863231,5.0,1,287.0,1,1,0
966,6508065,15.0,0.18903997879028464,194.97181532172658,12.633333524068199,228,2.25442,48.863247,5.0,1,285.70001220703097,1,1,0
967,6508065,17.7000007629395,0.15012004241943622,194.95756457456912,14.766667048136398,228,2.253819,48.863213,5.0,1,285.20001220703097,1,1,0
968,6508065,8.39999961853027,-0.5170800636291532,194.94210036513118,13.700000127156589,228,2.253384,48.863241,5.0,1,283.0,0,1,0
969,6508065,4.19999980926514,0.03150666313171393,194.93700939732025,3.1999999682108564,229,2.254093,48.86377,15.0,1,294.100006103516,0,1,0
970,6508065,3.4000000953674303,-0.044479984092712664,194.9331181431686,3.3666666348775234,229,2.25403,48.863673,5.0,1,297.899993896484,1,1,0
971,6508065,3.5999999046325697,0.02594666401545202,194.93246910162446,3.06666668256124,230,2.253695,48.86345900000001,15.0,1,318.600006103516,0,0,0
972,6508065,3.20000004768372,0.011120002651214822,194.92632815473496,2.833333333333333,231,2.253366,48.86328,5.0,1,335.5,0,0,0
973,6508065,9.10000038146973,0.07228000530242923,195.3518188647963,9.466667016347266,232,2.281955,48.878866,25.0,1,259.0,1,1,0
974,6508065,19.2000007629395,0.5615600212097193,195.34823859665002,10.300000349680598,232,2.282022,48.879131,5.0,1,258.399993896484,1,1,0
975,6508065,21.0,0.10007995758056384,195.3440846885302,16.433333714803073,232,2.28246,48.879459,5.0,1,256.20001220703097,1,1,0
976,6508065,24.2999992370605,0.18347995758056385,195.34822858191086,21.5,232,2.2829080000000004,48.879792,5.0,1,256.79998779296903,1,1,1
977,6508065,27.100000381469695,0.1556800636291511,195.35328217024858,24.13333320617673,232,2.283393,48.880183,5.0,1,256.20001220703097,1,1,0
